Variable,Value
CapacityElec,128.5847140769415
HydrogenProd[0],0.0
HydrogenProd[1],0.0
HydrogenProd[2],0.0
HydrogenProd[3],0.0
HydrogenProd[4],0.0
HydrogenProd[5],0.0
HydrogenProd[6],0.0
HydrogenProd[7],0.0
HydrogenProd[8],0.0
HydrogenProd[9],0.0
HydrogenProd[10],0.0
HydrogenProd[11],0.0
HydrogenProd[12],0.0
HydrogenProd[13],0.0
HydrogenProd[14],0.0
HydrogenProd[15],0.0
HydrogenProd[16],0.0
HydrogenProd[17],0.0
HydrogenProd[18],0.0
HydrogenProd[19],0.0
HydrogenProd[20],0.0
HydrogenProd[21],0.0
HydrogenProd[22],0.0
HydrogenProd[23],0.0
HydrogenProd[24],0.0
HydrogenProd[25],0.0
HydrogenProd[26],0.0
HydrogenProd[27],0.0
HydrogenProd[28],0.0
HydrogenProd[29],0.0
HydrogenProd[30],0.0
HydrogenProd[31],0.0
HydrogenProd[32],0.0
HydrogenProd[33],0.0
HydrogenProd[34],0.0
HydrogenProd[35],0.0
HydrogenProd[36],0.0
HydrogenProd[37],0.0
HydrogenProd[38],0.0
HydrogenProd[39],0.0
HydrogenProd[40],0.0
HydrogenProd[41],0.0
HydrogenProd[42],0.0
HydrogenProd[43],0.0
HydrogenProd[44],0.0
HydrogenProd[45],0.0
HydrogenProd[46],0.0
HydrogenProd[47],0.0
HydrogenProd[48],0.0
HydrogenProd[49],0.0
HydrogenProd[50],1002.9607698001438
HydrogenProd[51],2005.9215396002876
HydrogenProd[52],1002.9607698001438
HydrogenProd[53],0.0
HydrogenProd[54],0.0
HydrogenProd[55],0.0
HydrogenProd[56],0.0
HydrogenProd[57],0.0
HydrogenProd[58],0.0
HydrogenProd[59],0.0
HydrogenProd[60],0.0
HydrogenProd[61],0.0
HydrogenProd[62],0.0
HydrogenProd[63],0.0
HydrogenProd[64],0.0
HydrogenProd[65],0.0
HydrogenProd[66],0.0
HydrogenProd[67],0.0
HydrogenProd[68],0.0
HydrogenProd[69],0.0
HydrogenProd[70],0.0
HydrogenProd[71],0.0
HydrogenProd[72],0.0
HydrogenProd[73],0.0
HydrogenProd[74],0.0
HydrogenProd[75],0.0
HydrogenProd[76],783.419689119195
HydrogenProd[77],0.0
HydrogenProd[78],0.0
