Country,PAP Year,Scenario,CapacityElec,CapacitySolar,CapacityWind,CapacityStorage,Objective
FI,22,CapexElecDown,128.1671490025384,128.16714900253842,0.0,4000.0,63625796.408936076
FI,22,CapexElecUp,128.16714900253925,128.16714900253928,0.0,4000.0,71900011.21424545
FI,22,RElecDown,128.1671490025396,128.16714900253962,0.0,4000.0,65271975.27072832
FI,22,RElecUp,128.1671490025391,128.16714900253913,0.0,4000.0,71661748.48424967
FI,22,EfficiencyElecDown,160.20893625317495,160.20893625317495,0.0,4000.0,84411634.46967292
FI,22,EfficiencyElecUp,106.80595750211626,106.80595750211626,0.0,4000.0,56663750.03953926
SE,22,CapexElecDown,128.1671490025389,128.16714900253893,0.0,4000.0,78038848.53007406
SE,22,CapexElecUp,128.16714900253902,128.16714900253905,0.0,4000.0,86313063.33538309
SE,22,RElecDown,128.16714900253922,128.1671490025392,0.0,4000.0,79685027.39186588
SE,22,RElecUp,128.1671490025385,128.16714900253857,0.0,4000.0,86074800.60538705
SE,22,EfficiencyElecDown,160.20893625317666,160.2089362531767,0.0,4000.0,102427949.62109633
SE,22,EfficiencyElecUp,106.80595750211636,106.80595750211633,0.0,4000.0,68674626.80715416
DE,22,CapexElecDown,128.1671490025392,0.0,128.16714900253908,4000.0,99369753.2787326
DE,22,CapexElecUp,128.16714900253947,0.0,128.16714900253947,4000.0,107643968.08404186
DE,22,RElecDown,128.16714900253837,0.0,128.16714900253842,4000.0,101015932.14052372
DE,22,RElecUp,128.16714900253945,0.0,128.1671490025395,4000.0,107405705.35404617
DE,22,EfficiencyElecDown,160.20893625317348,0.0,160.20893625317342,4000.0,129091580.55691727
DE,22,EfficiencyElecUp,106.80595750211675,0.0,106.80595750211666,4000.0,86450380.76436983
